"DateTime","Number of sales","Sales USD"
"2019-01-31 00:00:00",3028,28699.23
"2019-02-01 00:00:00",3828,31033.67
"2019-02-02 00:00:00",4164,37312.45
"2019-02-03 00:00:00",4775,40914.42
"2019-02-04 00:00:00",3266,30507.72
"2019-02-05 00:00:00",3083,56099
"2019-02-06 00:00:00",2554,53859.86
"2019-02-07 00:00:00",2809,34736.6
"2019-02-08 00:00:00",3214,28042.16
"2019-02-09 00:00:00",5870,26301.59
"2019-02-10 00:00:00",5787,53926.09
"2019-02-11 00:00:00",4639,45432.58
"2019-02-12 00:00:00",3899,28194.1
"2019-02-13 00:00:00",3822,26707.65
"2019-02-14 00:00:00",4660,31647.07
"2019-02-15 00:00:00",3757,34595.1
"2019-02-16 00:00:00",6600,29375.97
"2019-02-17 00:00:00",5166,59032.58
"2019-02-18 00:00:00",4616,39156.41
"2019-02-19 00:00:00",2711,60243.33
"2019-02-20 00:00:00",2971,55223.45
"2019-02-21 00:00:00",3585,57976.81
"2019-02-22 00:00:00",4356,41806.95
"2019-02-23 00:00:00",4979,35776.84
"2019-02-24 00:00:00",3976,35536.17
"2019-02-25 00:00:00",4177,39168.68
"2019-02-26 00:00:00",4623,57949.69
"2019-02-27 00:00:00",2879,56978.88
"2019-02-28 00:00:00",2428,38119.67
"2019-03-01 00:00:00",3763,62449.76
"2019-03-02 00:00:00",5567,95212.81
"2019-03-03 00:00:00",6981,59110.12
"2019-03-04 00:00:00",5352,89740.98
"2019-03-05 00:00:00",4875,95166.59
"2019-03-06 00:00:00",5139,71476.67
"2019-03-07 00:00:00",5734,59875.97
"2019-03-08 00:00:00",6660,76773.9
"2019-03-09 00:00:00",6270,70490.91
"2019-03-10 00:00:00",5063,83474.97
"2019-03-11 00:00:00",4084,53206.43
"2019-03-12 00:00:00",4504,110181.75
"2019-03-13 00:00:00",3999,62299.05
"2019-03-14 00:00:00",3921,76826.11
"2019-03-15 00:00:00",4648,70605.83
"2019-03-16 00:00:00",7478,62872.18
"2019-03-17 00:00:00",6664,83947.23
"2019-03-18 00:00:00",5295,72920.06
"2019-03-19 00:00:00",5089,67374
"2019-03-20 00:00:00",4946,66584.69
"2019-03-21 00:00:00",4526,54311.41
"2019-03-22 00:00:00",4996,55268.19
"2019-03-23 00:00:00",6145,79449.31
"2019-03-24 00:00:00",6337,91813.72
"2019-03-25 00:00:00",5312,64579.69
"2019-03-26 00:00:00",4873,81364.35
"2019-03-27 00:00:00",4506,51671.46
"2019-03-28 00:00:00",4160,115433.52
